"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11"
"100" 0.334 0.559 0.2452 0.002885 1.0559 0.00266 46.838 6.23 0.064038424 1033.43 0.01178109
"101" 0.550000000000003 0.55 0.255 0.00275 1.055 0.00275 44.3 6.2 0.0667061 975.499999999999 0.0115535
"102" 0.766000000000002 0.541 0.2648 0.002615 1.0541 0.00284 41.762 6.17 0.069373776 917.569999999999 0.01132591
"103" 0.982000000000001 0.532 0.2746 0.00248 1.0532 0.00293 39.224 6.14 0.072041452 859.64 0.01109832
"104" 0.802 0.523 0.2844 0.002345 1.0523 0.00302 36.686 6.11 0.074709128 801.71 0.01087073
"105" 0.585999999999998 0.514 0.2942 0.00221 1.0514 0.00311 34.148 6.08 0.077376804 743.779999999999 0.01064314
"106" 0.369999999999999 0.505 0.304 0.002075 1.0505 0.0032 31.61 6.05 0.08004448 685.85 0.01041555
"107" 0.154 0.496 0.3138 0.00194 1.0496 0.00329 29.072 6.02 0.082712156 627.92 0.01018796
"108" 0.261999999999999 0.487 0.3236 0.001805 1.0487 0.00338 26.534 5.99 0.085379832 569.99 0.00996037
"109" 0.478000000000002 0.478 0.3334 0.00167 1.0478 0.00347 23.996 5.96 0.088047508 512.06 0.00973278
"110" 0.694 0.469 0.3432 0.001535 1.0469 0.00356 21.458 5.93 0.090715184 454.13 0.00950519
"111" 0.910000000000003 0.46 0.353 0.0014 1.046 0.00365 18.92 5.9 0.09338286 396.199999999999 0.0092776
"112" 0.873999999999998 0.451 0.3628 0.001265 1.0451 0.00374 16.382 5.87 0.096050536 338.269999999999 0.00905001
"113" 0.657999999999999 0.442 0.3726 0.00113 1.0442 0.00383 13.844 5.84 0.098718212 280.34 0.00882242
"114" 0.441999999999997 0.433 0.3824 0.000994999999999998 1.0433 0.00392 11.306 5.81 0.101385888 222.409999999999 0.00859483
"115" 0.226000000000002 0.424 0.3922 0.000860000000000001 1.0424 0.00401 8.76800000000001 5.78 0.104053564 164.48 0.00836724
"116" 0.190000000000001 0.415 0.402 0.000724999999999999 1.0415 0.0041 6.22999999999998 5.75 0.10672124 106.55 0.00813965
"117" 0.406 0.406 0.4118 0.00059 1.0406 0.00419 3.692 5.72 0.109388916 48.62 0.00791206
"118" 0.622000000000003 0.397 0.4216 0.000545000000000003 1.0397 0.00428 2.84600000000005 5.69 0.112056592 29.3100000000012 0.00768447
"119" 0.838000000000001 0.388 0.4314 0.00068 1.0388 0.00437 5.38400000000001 5.66 0.114724268 87.2400000000002 0.00745688
"120" 0.946 0.379 0.4412 0.000815 1.0379 0.00446 7.92200000000001 5.63 0.117391944 145.17 0.00722929
"121" 0.729999999999997 0.37 0.451 0.000950000000000002 1.037 0.00455 10.46 5.6 0.12005962 203.100000000001 0.0070017
"122" 0.513999999999998 0.361 0.4608 0.001085 1.0361 0.00464 12.998 5.57 0.122727296 261.03 0.00677411
"123" 0.297999999999995 0.352 0.4706 0.00122 1.0352 0.00473 15.5360000000001 5.54 0.125394972 318.960000000001 0.00654652
"124" 0.118 0.343 0.4804 0.001355 1.0343 0.00482 18.074 5.51 0.128062648 376.89 0.00631893
"125" 0.334000000000002 0.334 0.4902 0.00149 1.0334 0.00491 20.612 5.48 0.130730324 434.820000000001 0.00609134
