gw_mix	percop	ratem	kex	kt	kdif	DTsoil 	DTwater	Kpwater	Kpsoil	Kpsed
0.379	0.208	0.0443	0.001895	1.0208	0.000815	7.076	5.63	0.0160203 	145.17	0.00722929
0.379	0.892	0.0443	0.001895	1.0892	0.000815	28.226	7.34	0.0093511 	1825.14	0.00722929
0.424	0.298	0.4314	0.00086	1.0424	0.00149	8.768	5.78	0.0293586 	164.48	0.00836724
0.388	0.226	0.0296	0.00194	1.0226	0.00068	29.072	5.12	0.0240233 	87.24	0.00745688
0.46	0.37	0.108	0.0023	1.037	0.0014	35.84	5.6	0.0133526 	396.2	0.0092776
0.28	0.19	0.353	0.0023	1.028	0.00095	35.84	5.3	0.0133526 	782.4	0.0047258
0.28	0.19	0.206	0.0014	1.019	0.0023	18.92	6.8	0.0133526 	782.4	0.0047258
0.766	0.118	0.3922	0.00383	1.0118	0.00383	67.988	6.92	0.0026819 	1516.18	0.01701566
0.766	0.118	0.3922	0.00383	1.0118	0.00401	64.604	6.92	0.0026819 	1516.18	0.01701566
0.766	0.118	0.3922	0.00383	1.0118	0.00401	64.604	6.92	0.0026819 	1516.18	0.01701566
0.766	0.118	0.3922	0.00383	1.0766	0.00059	67.988	6.92	0.0026819 	1516.18	0.01701566
0.766	0.118	0.3922	0.00383	1.0766	0.00059	67.988	6.92	0.0026819 	1516.18	0.01701566
0.766	0.118	0.3726	0.00401	1.0766	0.00059	67.988	6.92	0.0026819 	1516.18	0.01701566
0.784	0.118	0.3628	0.00392	1.0334	0.00059	62.912	6.98	0.0026819 	1400.32	0.01747084
0.28	0.73	0.059	0.0023	1.028	0.00095	35.84	5.3	0.0133526 	782.4	0.0047258
0.784	0.118	0.3628	0.00392	1.0118	0.00167	62.912	6.98	0.0026819 	1400.32	0.01747084
0.424	0.298	0.0492	0.00212	1.0298	0.00086	32.456	5.36	0.0106849 	705.16	0.01974674
0.388	0.226	0.0296	0.00131	1.0388	0.00113	5.384	5.66	0.0186879 	87.24	0.00745688
0.784	0.118	0.3628	0.00392	1.0118	0.00374	23.996	6.98	0.0026819 	1400.32	0.01747084
0.784	0.118	0.3628	0.00167	1.0784	0.00059	62.912	6.98	0.0026819 	1400.32	0.01747084
0.388	0.226	0.0296	0.00194	1.0262	0.00113	5.384	5.66	0.0186879 	87.24	0.00745688
0.388	0.226	0.0296	0.00194	1.0226	0.00131	5.384	5.66	0.0186879 	87.24	0.00745688
0.235	0.28	0.2795	0.001175	1.028	0.002975	14.69	5.3	0.0133526 	1072.05	0.00358785
0.757	0.964	0.4069	0.003785	1.0964	0.004145	63.758	7.58	0.1080551 	48.62	0.01678807
0.28	0.19	0.206	0.0014	1.019	0.0023	61.22	5.3	0.0133526 	782.4	0.0047258
0.28	0.19	0.206	0.00365	1.028	0.00095	35.84	5.3	0.0133526 	782.4	0.0047258
0.28	0.19	0.206	0.0014	1.019	0.00365	35.84	5.3	0.0133526 	782.4	0.0047258
0.415	0.28	0.0345	0.002075	1.028	0.000725	31.61	7.4	0.0266910 	106.55	0.00813965
0.568	0.514	0.2844	0.00284	1.0514	0.00302	45.992	6.08	0.0747091 	48.62	0.01200868
0.415	0.28	0.0345	0.002075	1.028	0.000725	78.14	5.75	0.0266910 	106.55	0.00813965
0.28	0.19	0.206	0.0014	1.073	0.00095	35.84	5.3	0.0133526 	782.4	0.0047258
0.766	0.766	0.0198	0.00401	1.0766	0.00059	67.988	6.92	0.0026819 	1516.18	0.01701566
0.766	0.766	0.0198	0.00401	1.0766	0.00059	67.988	6.92	0.0026819 	1516.18	0.01701566
0.406	0.694	0.0982	0.00059	1.0406	0.00131	3.692	5.72	0.0240233 	48.62	0.00791206
0.271	0.208	0.4706	0.002435	1.0271	0.00104	38.378	5.27	0.0160203 	840.33	0.00449821
0.424	0.874	0.1178	0.00086	1.0424	0.00149	8.768	5.78	0.0293586 	164.48	0.00836724
0.361	0.928	0.0737	0.001805	1.0928	0.001085	26.534	7.46	0.0173541 	569.99	0.01064314
0.37	0.91	0.059	0.00185	1.091	0.00095	27.38	7.4	0.0133526 	1361.7	0.0070017
0.784	0.118	0.3628	0.00392	1.0118	0.00374	66.296	5.48	0.0026819 	1400.32	0.01747084
0.784	0.118	0.1374	0.00374	1.0784	0.00059	62.912	6.98	0.0026819 	1400.32	0.01747084
0.433	0.784	0.0639	0.002165	1.0784	0.000995	33.302	6.98	0.0146864 	724.47	0.00882242
0.514	0.811	0.0492	0.003335	1.0811	0.00086	55.298	7.07	0.0106849 	1226.53	0.01815361
0.271	0.208	0.2207	0.001355	1.0208	0.002435	18.074	7.52	0.0160203 	840.33	0.00449821
0.37	0.19	0.059	0.00185	1.019	0.00095	27.38	5	0.0133526 	589.3	0.0070017
0.37	0.19	0.059	0.00185	1.019	0.00095	27.38	5	0.0133526 	589.3	0.0070017
0.433	0.784	0.0639	0.002165	1.0784	0.000995	33.302	6.98	0.0146864 	743.78	0.00859483
0.271	0.946	0.0688	0.002435	1.0271	0.00104	38.378	5.27	0.0160203 	840.33	0.00449821
0.352	0.946	0.0884	0.00176	1.0946	0.00122	25.688	7.52	0.0213556 	434.82	0.00654652
0.784	0.334	0.0198	0.00374	1.0784	0.00059	62.912	6.98	0.0026819 	1400.32	0.01747084
0.424	0.298	0.0492	0.00212	1.0298	0.00086	32.456	5.36	0.0106849 	1670.66	0.00836724
0.514	0.289	0.0492	0.002165	1.0289	0.00086	33.302	5.33	0.0106849 	724.47	0.00495339
0.829	0.892	0.2893	0.004145	1.0892	0.003065	70.526	7.34	0.0080172 	1110.67	0.01860879
0.37	0.73	0.059	0.00455	1.073	0.00095	78.14	6.8	0.0133526 	1747.9	0.0161053
0.199	0.748	0.3383	0.000995	1.0748	0.003515	11.306	6.86	0.0186879 	1303.77	0.00267749
0.757	0.136	0.4069	0.003785	1.0136	0.004145	63.758	7.64	0.0053496 	1574.11	0.01678807
0.757	0.136	0.4902	0.004145	1.0757	0.00068	70.526	6.89	0.0053496 	1574.11	0.01678807
0.793	0.136	0.3481	0.003965	1.0136	0.003605	67.142	4.82	0.0026819 	1342.39	0.01769843
0.307	0.136	0.1619	0.001535	1.0136	0.001895	21.458	4.82	0.0413632 	48.62	0.00540857
0.397	0.244	0.2158	0.000545	1.0397	0.00122	2.846	5.69	0.0213556 	29.31	0.00768447
0.271	0.208	0.2207	0.00473	1.0271	0.00104	38.378	5.27	0.0160203 	840.33	0.00449821
0.271	0.208	0.2207	0.001355	1.0208	0.002435	81.524	5.27	0.0160203 	840.33	0.00449821
0.271	0.208	0.2207	0.001355	1.0208	0.00473	38.378	5.27	0.0160203 	840.33	0.00449821
0.757	0.136	0.4069	0.003785	1.0136	0.004145	84.908	6.89	0.0053496 	1574.11	0.01678807
0.757	0.136	0.4069	0.00491	1.0757	0.00068	70.526	6.89	0.0053496 	1574.11	0.01678807
